Designator,Mid X,Mid Y,Layer,Rotation
C1,16.5500mm,1.8000mm,Top,90
C2,7.3500mm,17.5500mm,Top,90
C3,8.2500mm,17.5500mm,Top,90
C4,12.7500mm,17.5500mm,Top,90
C5,2.0400mm,11.5700mm,Top,0
C6,5.5500mm,17.5500mm,Top,90
C7,14.9500mm,17.5500mm,Top,0
C8,2.6000mm,6.5000mm,Top,90
C9,10.9500mm,17.5500mm,Top,90
C10,15.6500mm,2.0500mm,Top,90
C12,1.4500mm,12.7000mm,Top,0
C13,4.6500mm,17.5500mm,Top,90
L1,16.4600mm,8.6200mm,Top,180
R1,14.6500mm,6.5000mm,Top,90
R2,15.6500mm,5.5310mm,Top,90
R3,15.6500mm,3.8140mm,Top,90
R4,6.4500mm,17.5500mm,Top,90
R5,3.7500mm,17.5500mm,Top,90
R6,10.0500mm,17.5500mm,Top,90
R7,9.1500mm,17.5500mm,Top,90
ROK1,17.4500mm,1.8000mm,Top,90
ROK2,17.8000mm,16.0000mm,Top,0
ROK3,16.4500mm,15.8330mm,Top,90
ROV1,14.6500mm,15.8330mm,Top,90
ROV2,15.5500mm,15.8330mm,Top,90
U1,8.8500mm,8.6500mm,Top,0
U2,16.4600mm,12.6300mm,Top,0
U3,2.0400mm,8.1000mm,Top,0
U4,2.0400mm,9.9000mm,Top,0
