ref,pin,net,part,note
BT1,1,VBAT,Cell wire pads — bare 1254-class cell + factory leads,"3.0 V discharge cut-off, 4.30 +-0.05 V charge, 210 mA pulse (CP1254 A4X figures). Two O1.4 wire-landing pads on 1.6 mm pitch — NOT a cell footprint. Solder the cell's LEADS here; never put an iron on the cell (CoinPower handbook 8.7). 4.30 V is the cell's charge voltage; the 4.00 V in some notes is the RAPID-charge footnote and does not apply here."
BT1,2,CELL_NEG,Cell wire pads — bare 1254-class cell + factory leads,"3.0 V discharge cut-off, 4.30 +-0.05 V charge, 210 mA pulse (CP1254 A4X figures). Two O1.4 wire-landing pads on 1.6 mm pitch — NOT a cell footprint. Solder the cell's LEADS here; never put an iron on the cell (CoinPower handbook 8.7). 4.30 V is the cell's charge voltage; the 4.00 V in some notes is the RAPID-charge footnote and does not apply here."
C1,1,VIN_DC,10uF 10V X5R 0402,"CIN. Was 4.7uF — Murata's DC-bias curve showed that part delivering only ~2.3-2.8 uF at this board's 3.9 V, against the BQ25505's 4.7 uF minimum. Specify by C_eff, never by marked value."
C1,2,GND,10uF 10V X5R 0402,"CIN. Was 4.7uF — Murata's DC-bias curve showed that part delivering only ~2.3-2.8 uF at this board's 3.9 V, against the BQ25505's 4.7 uF minimum. Specify by C_eff, never by marked value."
C2,1,VSTOR,10uF 10V X5R 0402,"CSTOR. Same change as C1. 0603 was not an option — it collides with 62 neighbouring pads/tracks here (12 at C1), so the land is fixed at 0402 and more nominal capacitance in the same land was the only lever."
C2,2,GND,10uF 10V X5R 0402,"CSTOR. Same change as C1. 0603 was not an option — it collides with 62 neighbouring pads/tracks here (12 at C1), so the land is fixed at 0402 and more nominal capacitance in the same land was the only lever."
C3,1,VSTOR,0.1uF 0402,CSTOR HF
C3,2,GND,0.1uF 0402,CSTOR HF
C4,1,VREF_SAMP,10nF 0402 low-leak,"CREF, 9-11 nF window"
C4,2,GND,10nF 0402 low-leak,"CREF, 9-11 nF window"
C5,1,VBAT,10uF 10V X5R 0402,CBAT bulk beside the cell
C5,2,GND,10uF 10V X5R 0402,CBAT bulk beside the cell
C6,1,SENSOR_3V3,1uF 0402,LDO input side of U3 is VSTOR; this is OUT
C6,2,GND,1uF 0402,LDO input side of U3 is VSTOR; this is OUT
C7,1,SENSOR_3V3,22uF 10V X5R 0603,"ZW0905 200 mA / 4 us scan transient. REQUIREMENT: ripple < 200 mV (Hi-Link), so C_eff at 3.3 V bias must be >= 4 uF, target >= 8 uF. Do NOT substitute a 6.3 V part -- it derates onto the floor."
C7,2,GND,22uF 10V X5R 0603,"ZW0905 200 mA / 4 us scan transient. REQUIREMENT: ripple < 200 mV (Hi-Link), so C_eff at 3.3 V bias must be >= 4 uF, target >= 8 uF. Do NOT substitute a 6.3 V part -- it derates onto the floor."
C8,1,SENSOR_MCU_3V3,1uF 0402,
C8,2,GND,1uF 0402,
C9,1,NRF_VDD,1uF 0402,REG0 output decoupling
C9,2,GND,1uF 0402,REG0 output decoupling
