net,connections,pins
GND,42,U1-1 U1-2 U1-15 U1-33 U1-55 U1-32 U2-1 U2-3 U2-5 U2-6 U2-15 U2-16 U2-17 U2-21 U3-2 U3-5 U4-2 U4-4 U4-5 J4-5 J2-6 BT1-2 J3-5 TP8-1 TP9-1 TP10-1 ROV1-2 ROK1-2 C1-2 C2-2 C3-2 C4-2 C5-2 C6-2 C7-2 C8-2 C9-2 C10-2 C11-2 R5-2 C12-2 C13-2
VSTOR,10,U1-30 U2-19 U3-3 U3-4 J3-4 TP2-1 C2-1 C3-1 C10-1 R4-1
VIN_DC,7,U2-2 TP1-1 R1-2 R2-2 R3-2 L1-2 C1-1
SENSOR_3V3,6,U3-1 U4-1 J2-1 TP5-1 C6-1 C7-1
SENSOR_MCU_3V3,4,U4-6 J2-3 TP6-1 C8-1
VBAT,4,U2-18 BT1-1 TP3-1 C5-1
VBAT_SENSE,4,U1-9 R4-2 R5-1 C12-1
BL_FLAG,3,U1-11 R6-2 C13-1
BL_RETURN,3,J11-4 TP7-1 R6-1
OK_HYST,3,U2-11 ROK2-1 ROK3-2
OK_PROG,3,U2-12 ROK1-1 ROK2-2
VBAT_OK,3,U1-16 U2-13 TP4-1
VBAT_OV_SET,3,U2-7 ROV1-1 ROV2-2
VRDIV,3,U2-8 ROV2-1 ROK3-1
HARV_1,2,J11-1 R1-1
HARV_2,2,J11-2 R2-1
HARV_3,2,J11-3 R3-1
LX,2,U2-20 L1-1
NRF_DCCH,2,U1-31 C11-1
NRF_VDD,2,U1-28 C9-1
RESET,2,U1-40 J3-3
SENSOR_RX,2,U1-24 J2-5
SENSOR_SW_EN,2,U1-19 U4-3
SENSOR_TX,2,U1-22 J2-4
SENSOR_WAKEUP,2,U1-23 J2-2
SWCLK,2,U1-53 J3-2
SWDIO,2,U1-51 J3-1
VREF_SAMP,2,U2-4 C4-1
